20.10.19 05:17:39.600 37.663063N 122.489326W 29.58C 1005.26| 0.00C 0.00| 0.00C 0.00| dv<1.29 0.73 9.61> r<0.03 -0.00 0.01>
20.10.19 05:21:48.900 37.663109N 122.489273W 28.65C 1005.30| 25.83C 1004.42| 0.00C 0.00| dv<1.21 0.74 9.59> r<0.02 0.00 0.01>
20.10.19 05:21:49.000 37.663109N 122.489273W 28.65C 1005.29| 25.82C 1004.41| 0.00C 0.00| dv<1.24 0.69 9.68> r<0.03 0.00 0.01>
20.10.19 05:21:49.100 37.663109N 122.489273W 28.65C 1005.29| 25.83C 1004.41| 0.00C 0.00| dv<1.20 0.74 9.67> r<0.02 -0.00 0.01>
20.10.19 05:21:49.200 37.663109N 122.489273W 28.65C 1005.28| 25.83C 1004.40| 0.00C 0.00| dv<1.26 0.71 9.67> r<0.03 -0.00 0.01>
20.10.19 05:21:49.300 37.663109N 122.489273W 28.65C 1005.28| 25.82C 1004.42| 0.00C 0.00| dv<1.22 0.70 9.65> r<0.03 0.00 0.01>
20.10.19 05:21:49.400 37.663109N 122.489273W 28.65C 1005.29| 25.83C 1004.42| 0.00C 0.00| dv<1.27 0.69 9.65> r<0.03 -0.00 0.01>
20.10.19 05:21:49.500 37.663109N 122.489273W 28.65C 1005.32| 25.83C 1004.42| 0.00C 0.00| dv<1.24 0.74 9.66> r<0.03 -0.00 0.01>
20.10.19 05:21:49.600 37.663109N 122.489273W 28.64C 1005.26| 25.83C 1004.41| 0.00C 0.00| dv<1.25 0.70 9.64> r<0.02 0.00 0.01>
20.10.19 05:21:49.700 37.663109N 122.489273W 28.64C 1005.27| 25.83C 1004.42| 0.00C 0.00| dv<1.25 0.71 9.63> r<0.02 -0.00 0.01>
20.10.19 05:21:49.800 37.663109N 122.489273W 28.65C 1005.28| 25.83C 1004.42| 0.00C 0.00| dv<1.24 0.71 9.66> r<0.02 -0.00 0.01>
20.10.19 05:21:49.900 37.663109N 122.489273W 28.64C 1005.28| 25.83C 1004.44| 0.00C 0.00| dv<1.26 0.72 9.58> r<0.03 0.00 0.01>
20.10.19 05:21:50.000 37.663101N 122.489273W 28.64C 1005.28| 25.83C 1004.42| 0.00C 0.00| dv<1.27 0.73 9.65> r<0.03 0.00 0.01>
20.10.19 05:21:50.100 37.663101N 122.489273W 28.64C 1005.28| 25.83C 1004.42| 0.00C 0.00| dv<1.26 0.73 9.62> r<0.02 -0.00 0.01>
20.10.19 05:21:50.200 37.663101N 122.489273W 28.64C 1005.31| 25.84C 1004.41| 0.00C 0.00| dv<1.27 0.75 9.60> r<0.02 0.00 0.01>
20.10.19 05:21:50.300 37.663101N 122.489273W 28.64C 1005.30| 25.83C 1004.41| 0.00C 0.00| dv<1.26 0.73 9.67> r<0.03 -0.00 0.01>
20.10.19 05:21:50.400 37.663101N 122.489273W 28.64C 1005.29| 25.83C 1004.41| 0.00C 0.00| dv<1.26 0.71 9.71> r<0.03 -0.00 0.01>
20.10.19 05:21:50.500 37.663101N 122.489273W 28.64C 1005.26| 25.83C 1004.42| 0.00C 0.00| dv<1.27 0.69 9.62> r<0.03 -0.00 0.01>
20.10.19 05:21:50.600 37.663101N 122.489273W 28.64C 1005.29| 25.83C 1004.41| 0.00C 0.00| dv<1.24 0.69 9.66> r<0.02 -0.00 0.01>
20.10.19 05:21:50.700 37.663101N 122.489273W 28.64C 1005.27| 25.83C 1004.41| 0.00C 0.00| dv<1.25 0.74 9.64> r<0.03 -0.00 0.01>
20.10.19 05:21:50.800 37.663101N 122.489273W 28.64C 1005.30| 25.82C 1004.40| 0.00C 0.00| dv<1.25 0.71 9.57> r<0.02 -0.00 0.01>
20.10.19 05:21:50.900 37.663101N 122.489273W 28.63C 1005.29| 25.82C 1004.41| 0.00C 0.00| dv<1.21 0.71 9.59> r<0.02 -0.00 0.01>
20.10.19 05:21:51.000 37.663101N 122.489273W 28.64C 1005.27| 25.82C 1004.41| 0.00C 0.00| dv<1.24 0.72 9.64> r<0.02 0.00 0.01>
20.10.19 05:21:51.100 37.663101N 122.489273W 28.64C 1005.29| 25.82C 1004.40| 0.00C 0.00| dv<1.24 0.70 9.65> r<0.02 -0.00 0.01>
20.10.19 05:21:51.200 37.663101N 122.489273W 28.63C 1005.28| 25.82C 1004.43| 0.00C 0.00| dv<1.28 0.70 9.63> r<0.02 0.00 0.01>
20.10.19 05:21:51.300 37.663101N 122.489273W 28.63C 1005.26| 25.83C 1004.42| 0.00C 0.00| dv<1.28 0.73 9.63> r<0.02 -0.01 0.01>
20.10.19 05:21:51.400 37.663101N 122.489273W 28.64C 1005.31| 25.83C 1004.41| 0.00C 0.00| dv<1.53 0.74 9.66> r<0.02 -0.04 0.01>
20.10.19 05:21:51.500 37.663101N 122.489273W 28.63C 1005.27| 25.83C 1004.42| 0.00C 0.00| dv<1.25 0.71 9.63> r<0.02 -0.00 0.01>
20.10.19 05:21:51.600 37.663101N 122.489273W 28.64C 1005.27| 25.82C 1004.41| 0.00C 0.00| dv<1.25 0.71 9.62> r<0.03 -0.00 0.01>
20.10.19 05:21:51.700 37.663101N 122.489273W 28.64C 1005.28| 25.81C 1004.43| 0.00C 0.00| dv<0.96 0.69 9.59> r<0.02 -0.00 0.01>
20.10.19 05:21:51.800 37.663101N 122.489273W 28.64C 1005.31| 25.82C 1004.45| 0.00C 0.00| dv<1.24 0.68 9.62> r<0.03 -0.00 0.01>
20.10.19 05:21:51.900 37.663101N 122.489273W 28.64C 1005.29| 25.82C 1004.43| 0.00C 0.00| dv<1.23 0.72 9.68> r<0.02 -0.00 0.01>
20.10.19 05:21:52.000 37.663101N 122.489273W 28.63C 1005.29| 25.81C 1004.42| 0.00C 0.00| dv<1.25 0.70 9.62> r<0.02 0.00 0.01>
20.10.19 05:21:52.100 37.663101N 122.489273W 28.64C 1005.28| 25.82C 1004.42| 0.00C 0.00| dv<1.23 0.70 9.55> r<0.02 -0.00 0.01>
20.10.19 05:21:52.200 37.663101N 122.489273W 28.63C 1005.28| 25.82C 1004.43| 0.00C 0.00| dv<1.26 0.74 9.64> r<0.03 -0.00 0.01>
20.10.19 05:21:52.300 37.663101N 122.489273W 28.64C 1005.27| 25.82C 1004.42| 0.00C 0.00| dv<1.21 0.74 9.63> r<0.02 0.00 0.02>
20.10.19 05:21:52.400 37.663101N 122.489273W 28.63C 1005.26| 25.81C 1004.37| 0.00C 0.00| dv<1.27 0.72 9.66> r<0.02 -0.00 0.01>
20.10.19 05:21:52.500 37.663101N 122.489273W 28.63C 1005.30| 25.81C 1004.42| 0.00C 0.00| dv<1.20 0.71 9.60> r<0.03 -0.00 0.01>
20.10.19 05:21:52.600 37.663101N 122.489273W 28.63C 1005.29| 25.82C 1004.41| 0.00C 0.00| dv<1.26 0.69 9.63> r<0.02 -0.00 0.01>
20.10.19 05:21:52.700 37.663101N 122.489273W 28.63C 1005.31| 25.81C 1004.42| 0.00C 0.00| dv<1.29 0.74 9.65> r<0.02 -0.00 0.01>
20.10.19 05:21:52.800 37.663101N 122.489273W 28.63C 1005.28| 25.80C 1004.41| 0.00C 0.00| dv<1.23 0.73 9.65> r<0.02 -0.00 0.01>
20.10.19 05:21:52.900 37.663101N 122.489273W 28.64C 1005.31| 25.79C 1004.41| 0.00C 0.00| dv<1.21 0.75 9.62> r<0.02 0.00 0.01>
20.10.19 05:21:53.000 37.663101N 122.489273W 28.63C 1005.24| 25.80C 1004.41| 0.00C 0.00| dv<1.29 0.74 9.66> r<0.02 -0.00 0.01>
20.10.19 05:21:53.100 37.663101N 122.489273W 28.63C 1005.31| 25.79C 1004.39| 0.00C 0.00| dv<1.25 0.69 9.68> r<0.03 -0.00 0.01>
20.10.19 05:21:53.200 37.663101N 122.489273W 28.63C 1005.27| 25.79C 1004.38| 0.00C 0.00| dv<1.27 0.72 9.63> r<0.02 0.00 0.01>
20.10.19 05:21:53.300 37.663101N 122.489273W 28.64C 1005.28| 25.80C 1004.39| 0.00C 0.00| dv<1.24 0.74 9.64> r<0.02 -0.00 0.01>
20.10.19 05:21:53.400 37.663101N 122.489273W 28.63C 1005.29| 25.79C 1004.41| 0.00C 0.00| dv<1.23 0.72 9.65> r<0.02 0.00 0.01>
20.10.19 05:21:53.500 37.663101N 122.489273W 28.63C 1005.27| 25.80C 1004.39| 0.00C 0.00| dv<1.26 0.70 9.64> r<0.02 -0.00 0.01>
20.10.19 05:21:53.600 37.663101N 122.489273W 28.64C 1005.30| 25.80C 1004.40| 0.00C 0.00| dv<1.25 0.73 9.63> r<0.02 0.00 0.01>
20.10.19 05:21:53.700 37.663101N 122.489273W 28.63C 1005.29| 25.80C 1004.39| 0.00C 0.00| dv<1.26 0.73 9.66> r<0.02 0.00 0.01>
20.10.19 05:21:53.800 37.663101N 122.489273W 28.63C 1005.27| 25.81C 1004.40| 0.00C 0.00| dv<1.26 0.71 9.65> r<0.02 0.00 0.01>
20.10.19 05:21:53.900 37.663101N 122.489273W 28.63C 1005.26| 25.81C 1004.40| 0.00C 0.00| dv<1.26 0.74 9.69> r<0.02 -0.00 0.01>
20.10.19 05:21:54.000 37.663101N 122.489273W 28.63C 1005.27| 25.81C 1004.43| 0.00C 0.00| dv<1.25 0.73 9.60> r<0.03 0.00 0.01>
20.10.19 05:21:54.100 37.663101N 122.489273W 28.63C 1005.29| 25.81C 1004.42| 0.00C 0.00| dv<1.25 0.72 9.62> r<0.03 -0.00 0.01>
20.10.19 05:21:54.200 37.663101N 122.489273W 28.63C 1005.27| 25.81C 1004.41| 0.00C 0.00| dv<1.23 0.67 9.63> r<0.02 -0.00 0.01>
20.10.19 05:21:54.300 37.663101N 122.489273W 28.63C 1005.29| 25.81C 1004.41| 0.00C 0.00| dv<1.25 0.74 9.63> r<0.02 0.00 0.01>
20.10.19 05:21:54.400 37.663101N 122.489273W 28.63C 1005.28| 25.80C 1004.40| 0.00C 0.00| dv<1.23 0.73 9.62> r<0.02 0.00 0.01>
20.10.19 05:21:54.500 37.663101N 122.489273W 28.63C 1005.26| 25.80C 1004.41| 0.00C 0.00| dv<1.28 0.72 9.62> r<0.02 -0.00 0.01>
20.10.19 05:21:54.600 37.663101N 122.489273W 28.63C 1005.31| 25.80C 1004.40| 0.00C 0.00| dv<1.23 0.73 9.67> r<0.02 -0.00 0.01>
20.10.19 05:21:54.700 37.663101N 122.489273W 28.63C 1005.29| 25.81C 1004.41| 0.00C 0.00| dv<1.26 0.72 9.63> r<0.02 -0.00 0.01>
20.10.19 05:21:54.800 37.663101N 122.489273W 28.63C 1005.26| 25.81C 1004.40| 0.00C 0.00| dv<1.27 0.73 9.65> r<0.02 0.00 0.01>
20.10.19 05:21:54.900 37.663101N 122.489273W 28.63C 1005.30| 25.81C 1004.43| 0.00C 0.00| dv<1.25 0.72 9.69> r<0.02 -0.00 0.01>
20.10.19 05:21:55.000 37.663101N 122.489273W 28.63C 1005.28| 25.81C 1004.40| 0.00C 0.00| dv<1.26 0.74 9.61> r<0.02 -0.00 0.01>
20.10.19 05:21:55.100 37.663101N 122.489273W 28.63C 1005.27| 25.82C 1004.41| 0.00C 0.00| dv<1.24 0.73 9.61> r<0.03 0.00 0.01>
20.10.19 05:21:55.200 37.663101N 122.489273W 28.63C 1005.29| 25.81C 1004.42| 0.00C 0.00| dv<1.27 0.70 9.65> r<0.03 0.00 0.01>
20.10.19 05:21:55.300 37.663101N 122.489273W 28.63C 1005.28| 25.81C 1004.39| 0.00C 0.00| dv<1.26 0.71 9.70> r<0.03 -0.00 0.01>
20.10.19 05:21:55.400 37.663101N 122.489273W 28.63C 1005.29| 25.82C 1004.42| 0.00C 0.00| dv<1.27 0.71 9.59> r<0.02 -0.00 0.01>
20.10.19 05:21:55.500 37.663101N 122.489273W 28.63C 1005.31| 25.82C 1004.42| 0.00C 0.00| dv<1.26 0.73 9.64> r<0.03 0.00 0.01>
20.10.19 05:21:55.600 37.663101N 122.489273W 28.63C 1005.29| 25.82C 1004.40| 0.00C 0.00| dv<1.27 0.71 9.63> r<0.02 0.00 0.02>
20.10.19 05:21:55.700 37.663101N 122.489273W 28.63C 1005.29| 25.82C 1004.42| 0.00C 0.00| dv<1.27 0.71 9.64> r<0.02 0.00 0.01>
20.10.19 05:21:55.800 37.663101N 122.489273W 28.62C 1005.29| 25.82C 1004.41| 0.00C 0.00| dv<1.26 0.69 9.57> r<0.03 0.00 0.01>
20.10.19 05:21:55.900 37.663101N 122.489273W 28.63C 1005.27| 25.82C 1004.42| 0.00C 0.00| dv<1.28 0.73 9.62> r<0.02 -0.00 0.01>
20.10.19 05:21:56.000 37.663101N 122.489273W 28.63C 1005.28| 25.81C 1004.41| 0.00C 0.00| dv<1.25 0.72 9.60> r<0.02 -0.00 0.01>
20.10.19 05:21:56.100 37.663101N 122.489273W 28.62C 1005.27| 25.81C 1004.41| 0.00C 0.00| dv<1.25 0.73 9.61> r<0.02 0.00 0.01>
20.10.19 05:21:56.200 37.663101N 122.489273W 28.62C 1005.28| 25.82C 1004.42| 0.00C 0.00| dv<1.24 0.71 9.67> r<0.02 -0.00 0.01>
20.10.19 05:21:56.300 37.663101N 122.489273W 28.62C 1005.30| 25.81C 1004.42| 0.00C 0.00| dv<1.23 0.71 9.61> r<0.02 -0.00 0.01>
20.10.19 05:21:56.400 37.663101N 122.489273W 28.62C 1005.28| 25.81C 1004.40| 0.00C 0.00| dv<1.25 0.71 9.67> r<0.02 -0.00 0.01>
20.10.19 05:21:56.500 37.663101N 122.489273W 28.62C 1005.25| 25.80C 1004.39| 0.00C 0.00| dv<1.25 0.70 9.65> r<0.03 -0.00 0.01>
20.10.19 05:21:56.600 37.663101N 122.489273W 28.62C 1005.29| 25.81C 1004.40| 0.00C 0.00| dv<1.25 0.68 9.61> r<0.02 -0.00 0.01>
20.10.19 05:21:56.700 37.663101N 122.489273W 28.62C 1005.29| 25.81C 1004.42| 0.00C 0.00| dv<1.28 0.70 9.62> r<0.03 -0.00 0.01>
20.10.19 05:21:56.800 37.663101N 122.489273W 28.62C 1005.28| 25.81C 1004.42| 0.00C 0.00| dv<1.25 0.69 9.61> r<0.02 -0.00 0.01>
20.10.19 05:21:56.900 37.663101N 122.489273W 28.62C 1005.27| 25.81C 1004.41| 0.00C 0.00| dv<1.20 0.71 9.67> r<0.03 -0.00 0.01>
20.10.19 05:21:57.000 37.663101N 122.489273W 28.62C 1005.27| 25.81C 1004.43| 0.00C 0.00| dv<1.24 0.69 9.63> r<0.03 0.00 0.01>
20.10.19 05:21:57.100 37.663101N 122.489273W 28.62C 1005.30| 25.81C 1004.43| 0.00C 0.00| dv<1.22 0.74 9.61> r<0.03 -0.00 0.01>
20.10.19 05:21:57.200 37.663101N 122.489273W 28.62C 1005.30| 25.81C 1004.41| 0.00C 0.00| dv<1.25 0.71 9.61> r<0.02 -0.00 0.01>
20.10.19 05:21:57.300 37.663101N 122.489273W 28.62C 1005.29| 25.81C 1004.41| 0.00C 0.00| dv<1.28 0.70 9.63> r<0.02 -0.00 0.01>
20.10.19 05:21:57.400 37.663101N 122.489273W 28.62C 1005.30| 25.81C 1004.41| 0.00C 0.00| dv<1.28 0.69 9.63> r<0.02 -0.00 0.01>
20.10.19 05:21:57.500 37.663101N 122.489273W 28.61C 1005.27| 25.81C 1004.39| 0.00C 0.00| dv<1.28 0.72 9.62> r<0.02 -0.00 0.01>
20.10.19 05:21:57.600 37.663101N 122.489273W 28.61C 1005.27| 25.81C 1004.40| 0.00C 0.00| dv<1.28 0.71 9.63> r<0.02 -0.00 0.01>
20.10.19 05:21:57.700 37.663101N 122.489273W 28.61C 1005.28| 25.80C 1004.41| 0.00C 0.00| dv<1.26 0.69 9.63> r<0.03 -0.00 0.01>
20.10.19 05:21:57.800 37.663101N 122.489273W 28.61C 1005.28| 25.81C 1004.40| 0.00C 0.00| dv<1.23 0.73 9.64> r<0.02 -0.00 0.01>
20.10.19 05:21:57.900 37.663101N 122.489273W 28.61C 1005.29| 25.80C 1004.39| 0.00C 0.00| dv<1.27 0.74 9.59> r<0.02 -0.00 0.01>
20.10.19 05:21:58.000 37.663101N 122.489273W 28.61C 1005.29| 25.79C 1004.41| 0.00C 0.00| dv<1.27 0.72 9.69> r<0.03 -0.00 0.01>
20.10.19 05:21:58.100 37.663101N 122.489273W 28.61C 1005.27| 25.79C 1004.41| 0.00C 0.00| dv<1.28 0.71 9.65> r<0.03 0.00 0.01>
20.10.19 05:21:58.200 37.663101N 122.489273W 28.61C 1005.27| 25.80C 1004.42| 0.00C 0.00| dv<1.25 0.73 9.64> r<0.03 -0.00 0.01>
20.10.19 05:21:58.300 37.663101N 122.489273W 28.61C 1005.30| 25.81C 1004.39| 0.00C 0.00| dv<1.25 0.70 9.61> r<0.03 -0.00 0.01>
20.10.19 05:21:58.400 37.663101N 122.489273W 28.61C 1005.29| 25.80C 1004.38| 0.00C 0.00| dv<1.25 0.70 9.67> r<0.02 -0.00 0.01>
20.10.19 05:21:58.500 37.663101N 122.489273W 28.61C 1005.27| 25.81C 1004.40| 0.00C 0.00| dv<1.27 0.74 9.62> r<0.03 0.00 0.01>
20.10.19 05:21:58.600 37.663101N 122.489273W 28.61C 1005.31| 25.81C 1004.41| 0.00C 0.00| dv<1.26 0.71 9.65> r<0.03 -0.00 0.01>
20.10.19 05:21:58.700 37.663101N 122.489273W 28.61C 1005.27| 25.82C 1004.38| 0.00C 0.00| dv<1.21 0.70 9.58> r<0.03 -0.00 0.01>
20.10.19 05:21:58.800 37.663101N 122.489273W 28.61C 1005.28| 25.81C 1004.40| 0.00C 0.00| dv<1.22 0.70 9.65> r<0.02 -0.00 0.01>
20.10.19 05:21:58.900 37.663101N 122.489273W 28.61C 1005.27| 25.81C 1004.42| 0.00C 0.00| dv<1.25 0.71 9.60> r<0.02 -0.00 0.01>
20.10.19 05:21:59.000 37.663101N 122.489273W 28.61C 1005.26| 25.82C 1004.43| 0.00C 0.00| dv<1.26 0.70 9.59> r<0.02 -0.00 0.02>
20.10.19 05:21:59.100 37.663101N 122.489273W 28.60C 1005.28| 25.82C 1004.40| 0.00C 0.00| dv<1.25 0.72 9.58> r<0.02 -0.00 0.01>
20.10.19 05:21:59.200 37.663101N 122.489273W 28.61C 1005.28| 25.82C 1004.41| 0.00C 0.00| dv<1.25 0.71 9.64> r<0.02 0.00 0.01>
20.10.19 05:21:59.300 37.663101N 122.489273W 28.61C 1005.29| 25.82C 1004.39| 0.00C 0.00| dv<1.29 0.71 9.65> r<0.03 -0.00 0.01>
20.10.19 05:21:59.400 37.663101N 122.489273W 28.61C 1005.28| 25.82C 1004.41| 0.00C 0.00| dv<1.27 0.71 9.61> r<0.03 -0.00 0.01>
20.10.19 05:21:59.500 37.663101N 122.489273W 28.61C 1005.27| 25.82C 1004.41| 0.00C 0.00| dv<1.23 0.72 9.60> r<0.03 -0.00 0.01>
20.10.19 05:21:59.600 37.663101N 122.489273W 28.61C 1005.30| 25.82C 1004.41| 0.00C 0.00| dv<1.25 0.70 9.59> r<0.03 -0.00 0.01>
20.10.19 05:21:59.700 37.663101N 122.489273W 28.60C 1005.28| 25.82C 1004.43| 0.00C 0.00| dv<1.24 0.71 9.64> r<0.02 0.00 0.01>
20.10.19 05:21:59.800 37.663101N 122.489273W 28.60C 1005.28| 25.82C 1004.40| 0.00C 0.00| dv<1.28 0.73 9.61> r<0.02 -0.00 0.01>
20.10.19 05:21:59.900 37.663101N 122.489273W 28.60C 1005.27| 25.82C 1004.42| 0.00C 0.00| dv<1.28 0.75 9.61> r<0.02 0.00 0.01>
20.10.19 05:22:00.000 37.663101N 122.489273W 28.61C 1005.29| 25.82C 1004.42| 0.00C 0.00| dv<1.23 0.72 9.65> r<0.02 0.04 0.01>
20.10.19 05:22:00.100 37.663101N 122.489273W 28.60C 1005.27| 25.82C 1004.43| 0.00C 0.00| dv<1.26 0.72 9.61> r<0.02 -0.00 0.01>
20.10.19 05:22:00.200 37.663101N 122.489273W 28.60C 1005.28| 25.81C 1004.43| 0.00C 0.00| dv<1.22 0.71 9.61> r<0.02 0.00 0.01>
20.10.19 05:22:00.300 37.663101N 122.489273W 28.61C 1005.28| 25.81C 1004.40| 0.00C 0.00| dv<1.27 0.70 9.64> r<0.02 -0.00 0.01>
20.10.19 05:22:00.400 37.663101N 122.489273W 28.60C 1005.29| 25.81C 1004.40| 0.00C 0.00| dv<1.30 0.70 9.64> r<0.03 -0.00 0.01>
20.10.19 05:22:00.500 37.663101N 122.489273W 28.60C 1005.28| 25.81C 1004.38| 0.00C 0.00| dv<1.26 0.72 9.68> r<0.03 -0.00 0.01>
20.10.19 05:22:00.600 37.663101N 122.489273W 28.61C 1005.26| 25.82C 1004.40| 0.00C 0.00| dv<1.25 0.71 9.64> r<0.03 -0.00 0.01>
20.10.19 05:22:00.700 37.663101N 122.489273W 28.61C 1005.29| 25.82C 1004.42| 0.00C 0.00| dv<1.24 0.73 9.61> r<0.03 -0.00 0.01>
20.10.19 05:22:00.800 37.663101N 122.489273W 28.60C 1005.29| 25.82C 1004.42| 0.00C 0.00| dv<1.27 0.70 9.69> r<0.03 -0.00 0.01>
20.10.19 05:22:00.900 37.663101N 122.489273W 28.61C 1005.29| 25.82C 1004.40| 0.00C 0.00| dv<1.24 0.71 9.59> r<0.02 0.00 0.01>
20.10.19 05:22:01.000 37.663101N 122.489273W 28.60C 1005.31| 25.81C 1004.43| 0.00C 0.00| dv<1.27 0.73 9.62> r<0.03 -0.00 0.01>
20.10.19 05:22:01.100 37.663101N 122.489273W 28.61C 1005.28| 25.82C 1004.42| 0.00C 0.00| dv<1.26 0.70 9.59> r<0.02 -0.00 0.01>
20.10.19 05:22:01.200 37.663101N 122.489273W 28.60C 1005.28| 25.81C 1004.41| 0.00C 0.00| dv<1.23 0.72 9.61> r<0.03 0.00 0.01>
20.10.19 05:22:01.300 37.663101N 122.489273W 28.61C 1005.29| 25.81C 1004.39| 0.00C 0.00| dv<1.22 0.73 9.66> r<0.03 0.00 0.01>
20.10.19 05:22:01.400 37.663101N 122.489273W 28.60C 1005.25| 25.82C 1004.43| 0.00C 0.00| dv<1.28 0.72 9.62> r<0.03 0.00 0.02>
20.10.19 05:22:01.500 37.663101N 122.489273W 28.61C 1005.28| 25.82C 1004.39| 0.00C 0.00| dv<1.23 0.71 9.65> r<0.03 -0.00 0.01>
20.10.19 05:22:01.600 37.663101N 122.489273W 28.61C 1005.27| 25.82C 1004.40| 0.00C 0.00| dv<1.26 0.71 9.59> r<0.03 -0.00 0.01>
20.10.19 05:22:01.700 37.663101N 122.489273W 28.61C 1005.30| 25.82C 1004.40| 0.00C 0.00| dv<1.24 0.72 9.61> r<0.03 -0.00 0.01>
20.10.19 05:22:01.800 37.663101N 122.489273W 28.61C 1005.26| 25.82C 1004.41| 0.00C 0.00| dv<1.27 0.71 9.61> r<0.03 0.00 0.01>
20.10.19 05:22:01.900 37.663101N 122.489273W 28.61C 1005.28| 25.82C 1004.41| 0.00C 0.00| dv<0.95 0.71 9.61> r<0.02 -0.00 0.01>
20.10.19 05:22:02.000 37.663101N 122.489273W 28.61C 1005.31| 25.82C 1004.40| 0.00C 0.00| dv<1.35 0.73 9.80> r<0.02 0.00 0.01>
20.10.19 05:22:02.100 37.663101N 122.489273W 28.61C 1005.29| 25.82C 1004.43| 0.00C 0.00| dv<1.26 0.67 9.60> r<0.02 0.00 0.01>
20.10.19 05:22:02.200 37.663101N 122.489273W 28.61C 1005.25| 25.83C 1004.40| 0.00C 0.00| dv<1.25 0.73 9.61> r<0.02 -0.00 0.01>
20.10.19 05:22:02.300 37.663101N 122.489273W 28.61C 1005.31| 25.82C 1004.42| 0.00C 0.00| dv<1.25 0.69 9.62> r<0.02 -0.00 0.01>
20.10.19 05:22:02.400 37.663101N 122.489273W 28.61C 1005.30| 25.82C 1004.38| 0.00C 0.00| dv<1.26 0.73 9.61> r<0.02 0.00 0.01>
20.10.19 05:22:02.500 37.663101N 122.489273W 28.62C 1005.30| 25.82C 1004.45| 0.00C 0.00| dv<1.24 0.72 9.59> r<0.03 -0.00 0.01>
20.10.19 05:22:02.600 37.663101N 122.489273W 28.61C 1005.30| 25.82C 1004.41| 0.00C 0.00| dv<1.26 0.72 9.72> r<0.02 -0.00 0.01>
20.10.19 05:22:02.700 37.663101N 122.489273W 28.62C 1005.29| 25.82C 1004.41| 0.00C 0.00| dv<1.27 0.73 9.64> r<0.03 -0.00 0.01>
20.10.19 05:22:02.800 37.663101N 122.489273W 28.62C 1005.28| 25.82C 1004.43| 0.00C 0.00| dv<1.26 0.71 9.62> r<0.02 0.00 0.01>
20.10.19 05:22:02.900 37.663101N 122.489273W 28.62C 1005.28| 25.82C 1004.39| 0.00C 0.00| dv<1.26 0.70 9.64> r<0.03 0.00 0.01>
20.10.19 05:22:03.000 37.663101N 122.489273W 28.62C 1005.27| 25.82C 1004.40| 0.00C 0.00| dv<1.23 0.73 9.68> r<0.03 -0.00 0.01>
20.10.19 05:22:03.100 37.663101N 122.489273W 28.62C 1005.28| 25.82C 1004.41| 0.00C 0.00| dv<1.22 0.72 9.65> r<0.03 -0.00 0.01>
20.10.19 05:22:03.200 37.663101N 122.489273W 28.62C 1005.29| 25.82C 1004.42| 0.00C 0.00| dv<1.24 0.74 9.61> r<0.02 0.00 0.01>
20.10.19 05:22:03.300 37.663101N 122.489273W 28.62C 1005.27| 25.82C 1004.41| 0.00C 0.00| dv<1.24 0.70 9.60> r<0.03 0.00 0.01>
20.10.19 05:22:03.400 37.663101N 122.489273W 28.62C 1005.30| 25.82C 1004.42| 0.00C 0.00| dv<1.24 0.70 9.64> r<0.03 -0.00 0.01>
20.10.19 05:22:03.500 37.663101N 122.489273W 28.62C 1005.26| 25.82C 1004.43| 0.00C 0.00| dv<1.25 0.70 9.66> r<0.02 0.00 0.01>
20.10.19 05:22:03.600 37.663101N 122.489273W 28.62C 1005.26| 25.82C 1004.42| 0.00C 0.00| dv<1.22 0.70 9.60> r<0.03 -0.00 0.01>
20.10.19 05:22:03.700 37.663101N 122.489273W 28.62C 1005.30| 25.81C 1004.43| 0.00C 0.00| dv<1.24 0.71 9.61> r<0.03 0.00 0.01>
20.10.19 05:22:03.800 37.663101N 122.489273W 28.62C 1005.25| 25.82C 1004.41| 0.00C 0.00| dv<1.28 0.75 9.66> r<0.02 -0.00 0.01>
20.10.19 05:22:03.900 37.663101N 122.489273W 28.62C 1005.30| 25.81C 1004.41| 0.00C 0.00| dv<1.26 0.72 9.61> r<0.03 -0.00 0.01>
20.10.19 05:22:04.000 37.663101N 122.489273W 28.62C 1005.28| 25.81C 1004.43| 0.00C 0.00| dv<1.25 0.73 9.70> r<0.03 0.00 0.01>
20.10.19 05:22:04.100 37.663101N 122.489273W 28.62C 1005.30| 25.82C 1004.40| 0.00C 0.00| dv<1.24 0.70 9.63> r<0.03 -0.00 0.01>
20.10.19 05:22:04.200 37.663101N 122.489273W 28.62C 1005.29| 25.82C 1004.42| 0.00C 0.00| dv<1.26 0.71 9.65> r<0.02 -0.00 0.01>
20.10.19 05:22:04.300 37.663101N 122.489273W 28.62C 1005.28| 25.82C 1004.42| 0.00C 0.00| dv<1.28 0.70 9.59> r<0.02 0.00 0.01>
20.10.19 05:22:04.400 37.663101N 122.489273W 28.61C 1005.29| 25.82C 1004.43| 0.00C 0.00| dv<1.18 0.67 9.62> r<0.02 -0.00 0.01>
20.10.19 05:22:04.500 37.663101N 122.489273W 28.62C 1005.27| 25.82C 1004.41| 0.00C 0.00| dv<1.25 0.70 9.70> r<0.02 -0.00 0.01>
20.10.19 05:22:04.600 37.663101N 122.489273W 28.62C 1005.31| 25.81C 1004.39| 0.00C 0.00| dv<1.28 0.72 9.67> r<0.03 0.00 0.01>
